ESD-CODE,STATE,PHASE,PHASE-NAME,VEG,NOTES
R036XY325CO,SEEDED,6.2,GRASSLAND/SHRUBLAND,PG -SEEDED,
R036XY325CO,SEEDED,6.2,GRASSLAND/SHRUBLAND,ARTRW8,
R036XY325CO,SEEDED,6.2,GRASSLAND/SHRUBLAND,SH,
R036XY325CO,SEEDED,6.2,GRASSLAND/SHRUBLAND,PG/AG,
R036XY325CO,SEEDED,6.2,GRASSLAND/SHRUBLAND,AF/PF,
R036XY325CO,SEEDED,6.3,SHRUBLAND,ARTRW8,
R036XY325CO,SEEDED,6.3,SHRUBLAND,PG -SEEDED,
R036XY325CO,SEEDED,6.3,SHRUBLAND,AG/PG,
R036XY325CO,SEEDED,6.3,SHRUBLAND,SH,
R036XY325CO,SEEDED,6.3,SHRUBLAND,AF/PF,
R036XY325CO,SEEDED,6.3,SHRUBLAND,UTAH JUNIPER,ABSENT-SPARSE
R036XY325CO,SEEDED,6.3,SHRUBLAND,PINYON,ABSENT-SPARSE
R026XY114CO,REFERENCE,1.1,PJ WOODLAND,UTAH JUNIPER,
R026XY114CO,REFERENCE,1.1,PJ WOODLAND,PINYON,SCATTERED
R026XY114CO,REFERENCE,1.1,PJ WOODLAND,PG/AG,
R026XY114CO,REFERENCE,1.1,PJ WOODLAND,SH,
R026XY114CO,REFERENCE,1.1,PJ WOODLAND,PF/AF,
R026XY114CO,REFERENCE,1.2,MATURE PJ WOODLAND,PINYON,CO-DOMINANT
R026XY114CO,REFERENCE,1.2,MATURE PJ WOODLAND,UTAH JUNIPER,CO-DOMINANT
R026XY114CO,REFERENCE,1.2,MATURE PJ WOODLAND,PG/AG,
R026XY114CO,REFERENCE,1.2,MATURE PJ WOODLAND,PF/AF,
R026XY114CO,REFERENCE,1.2,MATURE PJ WOODLAND,SH,
R026XY114CO,REFERENCE,1.3,PERENNIAL SHRUBLAND W/ SCATTERED PJ,PG/AG,
R026XY114CO,REFERENCE,1.3,PERENNIAL SHRUBLAND W/ SCATTERED PJ,SH,
R026XY114CO,REFERENCE,1.3,PERENNIAL SHRUBLAND W/ SCATTERED PJ,PF/AF,
R026XY114CO,REFERENCE,1.3,PERENNIAL SHRUBLAND W/ SCATTERED PJ,UTAH JUNIPER,SCATTERED/STARTING TO RE-ESTABLISH
R026XY114CO,REFERENCE,1.3,PERENNIAL SHRUBLAND W/ SCATTERED PJ,PINYON,SCATTERED/STARTING TO RE-ESTABLISH
R026XY114CO,POTENTIAL ,2.1,PJ WOODLAND,UTAH JUNIPER,SCATTERED
R026XY114CO,POTENTIAL ,2.1,PJ WOODLAND,PINYON,SCATTERED
R026XY114CO,POTENTIAL ,2.1,PJ WOODLAND,PG/AG,
R026XY114CO,POTENTIAL ,2.1,PJ WOODLAND,PF/AF,
R026XY114CO,POTENTIAL ,2.1,PJ WOODLAND,SH,
R026XY114CO,POTENTIAL ,2.1,PJ WOODLAND,NOXIOUS,PRESENT
R026XY114CO,POTENTIAL ,2.2,MATURE PJ WOODLAND,UTAH JUNIPER,CO-DOMINANT
R026XY114CO,POTENTIAL ,2.2,MATURE PJ WOODLAND,PINYON,CO-DOMINANT
R026XY114CO,POTENTIAL ,2.2,MATURE PJ WOODLAND,PG/AG,
R026XY114CO,POTENTIAL ,2.2,MATURE PJ WOODLAND,PF/AF,
R026XY114CO,POTENTIAL ,2.2,MATURE PJ WOODLAND,SH,
R026XY114CO,POTENTIAL ,2.2,MATURE PJ WOODLAND,NOXIOUS,PRESENT
R026XY114CO,POTENTIAL ,2.3,PERENNIAL SHRUBLAND W/ SCATTERED PJ,UTAH JUNIPER,SCATTERED/STARTING TO RE-ESTABLISH
