Plot ID,Panel,Plot Status,Administrative State,Project Office,Design Stratum,Project Contact Name,Comments,Rejection Criteria,Rejection Criteria Comments,Actual Stratum,Project,Random or Targeted,Revisit,Original Plot ID If Revisit,Date Originally Visited If Revisit,Moved,Move Comments,Date Visited,Actual Latitude Y,Actual Longitude X,Ecological Site
RI-204,2022,Sampled,CO,UFO,RI,Ken Holsinger,,NA,,Salt Desert,Terrestrial AIM ,Random   ,No,NA,NA,Yes,Moved 50m West to avoid Escalante Canyon Rd as well as private property. ,8/2/2021,38.7204913144672,-108.268942907841,R035XY109UT Desert Loam Shadscale
PJ-149,2021,Sampled,CO,UFO,PJ,Ken Holsinger,,NA,,PJ,Terrestrial AIM ,Random   ,No,NA,NA,No,NA,7/17/2021,38.4683457851035,-108.697310482416,R036XY284CO Loamy Foothills
PJ-150,2021,Sampled,CO,UFO,PJ,Ken Holsinger,,NA,,PJ,Terrestrial AIM ,Random   ,No,NA,NA,Yes,Moved East 50m away from mesa edge. Long steep hike do early or late in season due to heat and access off raft. ,10/3/2021,38.8052526898217,-108.34966390342,R036XY141CO Shallow Loamy Mesa Top (Pinyon-Juniper)
PJ-151,2022,Sampled,CO,UFO,PJ,Ken Holsinger,,NA,,SS,Terrestrial AIM ,Random   ,No,NA,NA,No,NA,7/13/2021,38.5494422419269,-108.167317278394,R036XY325CO Semidesert Loam
PJ-152,2022,Sampled,CO,UFO,PJ,Ken Holsinger,,NA,,PJ,Terrestrial AIM ,Random   ,No,NA,NA,No,NA,8/26/2021,38.1336811,-108.5387778,R0356XY445CO Steep Colluvial Slopes
PJ-153,2022,Sampled,CO,UFO,PJ,Ken Holsinger,,NA,,PJ,Terrestrial AIM ,Random   ,No,NA,NA,Yes,Moved 50m West to avoid slope and road cut,8/25/2021,38.0363708219407,-108.077407979081,R036XY113CO Semidesert Juniper Loam
PJ-154,2022,Sampled,CO,UFO,PJ,Ken Holsinger,,NA,,PJ,Terrestrial AIM ,Random   ,No,NA,NA,Yes,Over 50% slope (cliff edge),7/16/2021,38.248289092729,-108.976417568453,R036XY114CO Mountain Pinyon
SD-370,2021,Sampled,CO,UFO,SD,Ken Holsinger,,NA,,PJ,Terrestrial AIM ,Random   ,No,NA,NA,No,NA,6/17/2021,38.330861,-108.9396531,R036XY141CO Shallow Loamy Mesa Top (Pinyon-Juniper)
SD-371,2021,Sampled,CO,UFO,SD,Ken Holsinger,,NA,,SD,Terrestrial AIM ,Random   ,No,NA,NA,Yes,Moved N for slope and unstable soil,7/3/2021,38.7107886047391,-108.254384552529,R034BY233UT Semidesert Shallow Loam (Utah Juniper-Pinyon)
SD-372,2021,Sampled,CO,UFO,SD,Ken Holsinger,,NA,,Salt Desert,Terrestrial AIM ,Random   ,No,NA,NA,Yes,50 m E to avoid slope,6/30/2021,38.6339685,-107.9147312,R034BY328CO Semidesert Clay Loam
SD-373,2021,Sampled,CO,UFO,SD,Ken Holsinger,,NA,,SD,Terrestrial AIM ,Random   ,No,NA,NA,Yes,50 m S to less disturbed/more representative area,6/1/2021,38.7908033,-108.2607071,R034XY401CO Loamy Saltdesert
SD-374,2021,Sampled,CO,UFO,SD,Ken Holsinger,,NA,,PJ,Terrestrial AIM ,Random   ,No,NA,NA,Yes,Moved north for road,7/18/2021,38.2402102819617,-108.622223350543,R048AY245CO Mountain Swale
SD-375,2021,Sampled,CO,UFO,SD,Ken Holsinger,,NA,,SD,Terrestrial AIM ,Random   ,No,NA,NA,No,NA,6/4/2021,38.7272711279793,-108.196138071818,R034XY401CO Loamy Saltdesert
SD-376,2021,Rejected ,CO,UFO,SD,Ken Holsinger,,Slope over 50% - Also lots of disturbance from single tracks. Only 4 species total on plot and two lines with gaps from 0cm - 2500cm,,Rejected,Terrestrial AIM ,Random   ,No,NA,NA,NA,NA,NA,NA,NA,NA
SD-377,2021,Sampled,CO,UFO,SD,Ken Holsinger,,NA,,SD,Terrestrial AIM ,Random   ,No,NA,NA,No,NA,6/1/2021,38.8044381475011,-108.022400115619,R034XY262CO Salt Flats
SD-378,2021,Sampled,CO,UFO,SD,Ken Holsinger,,NA,,SD,Terrestrial AIM ,Random   ,No,NA,NA,No,NA,5/26/2021,38.6502914273551,-108.143296631598,R036XY325CO Semidesert Loam
SD-379,2021,Sampled,CO,UFO,SD,Ken Holsinger,,NA,,SD,Terrestrial AIM ,Random   ,No,NA,NA,No,NA,5/27/2021,38.6896105188444,-108.172409548501,R034BY106UT Desert Loam (Shadscale)
SD-380,2021,Sampled,CO,UFO,SD,Ken Holsinger,,NA,,SD,Terrestrial AIM ,Random   ,No,NA,NA,No,NA,6/3/2021,38.7945703,-107.8426008,R034XY262CO Salt Flats
SD-381,2022,Sampled,CO,UFO,SD,Ken Holsinger,,NA,,SD,Terrestrial AIM ,Random   ,No,NA,NA,No,NA,7/13/2021,38.8187726,-108.1179906,R034XY404CO Stony Saltdesert
SD-382,2022,Sampled,CO,UFO,SD,Ken Holsinger,,NA,,PJ,Terrestrial AIM ,Random   ,No,NA,NA,Yes,Moved North to avoid slope. ,9/8/2021,38.5942622,-108.1768958,R036XY287CO Stony Foothills
